"gamma","beta","sigma","lp__"
0.0616883597704093,4.43402632280073,0.000800279656312952,7458.3063463117
0.0579498073953317,4.74156068941567,0.000801034027101829,7435.70041916217
0.0598884154595223,4.34113798047673,0.000755588493049186,7452.73101567396
0.0590150034963822,4.20501421849077,0.000797635814873884,7470.38490077814
0.0596142123182135,4.66413310706535,0.000830936652332392,7454.10746345403
0.0609751141737293,4.19252006012513,0.000793597860577061,7477.96295579035
0.0605450456411706,4.19488718702639,0.000789701626314085,7506.77726614678
0.0588630251410053,4.36587863017005,0.000840378878693151,7423.3625323365
0.0577427491854211,4.33384763181991,0.000774791161125367,7425.66524824314
0.0602915908808592,5.01271355739814,0.000881756810463251,7416.1741775901
0.0592955972549276,4.5861786703383,0.000813737579469609,7425.37635773462
0.0595594011744205,4.56050106804034,0.000789447189062227,7454.87672511992
0.0577475630325016,4.21060601432961,0.00079799656944887,7396.86428238817
0.0598417615469105,4.12216510669293,0.000751750568853515,7448.1706202005
0.0592350934184697,4.37503813748421,0.000794049638888063,7437.98306314702
0.0614915397483161,4.43821863774976,0.000808621905896026,7398.33602377123
0.0589250788504504,4.64195354004382,0.000797420386834188,7516.32746894791
0.0582857557194511,4.29380533289178,0.000792053340948323,7442.67009958337
0.0601890198025099,4.38372134662233,0.000812657620746201,7431.32660393457
0.0567538222090924,4.72661036119313,0.000836715857772323,7396.80426190421
0.0569269080105526,4.48149322110252,0.000811890873884437,7431.82362245497
0.0580327414442448,4.21561178042829,0.000795797793302497,7450.85708439897
0.0606083747590258,4.51430379558698,0.000779137529027215,7407.95710228453
0.0610538695010877,4.35845109538191,0.000770834006389411,7483.17941107036
0.0597442353193805,4.48555070244604,0.000844802377529443,7435.29460921177
0.0599589563399641,4.14907013221835,0.000798030454943395,7421.80205071085
0.0588919294847055,4.53132637830742,0.000799776917897523,7444.93525719899
0.0593489029841527,4.3452539750522,0.000796265968311382,7503.8555479519
0.0617928125367383,4.73678809465285,0.000795965305936474,7460.78883364827
0.0602881433391476,4.55845821327073,0.000801127908043773,7456.63045217007
0.0589108316080122,4.73035442966039,0.000816149845318822,7474.40729204967
0.0597239615698903,4.36260156787686,0.000810997678866798,7430.07884878937
0.0612219687841996,4.48662093235808,0.000819655868250608,7442.455817754
0.0609393245056423,4.66603108342218,0.000859501045406463,7414.33676471428
0.0617993161438292,4.7014668413288,0.000822272799840516,7451.02949471966
0.0584430370902866,4.44892364250964,0.000805390138219362,7462.27820304733
0.055853297562296,4.9922626124384,0.000799411760495093,7431.84220484151
0.0587512028383403,4.31657561537518,0.000750602125239778,7458.54617575115
0.0572100337005746,4.09517627425575,0.000762458833713157,7435.83939781958
0.063032653309375,4.3671914163219,0.000769540068274,7469.37902957857
0.060249013169396,4.50867210600977,0.000833399192258563,7443.10128545369
0.0621864642528864,4.56683957312737,0.000819782480288982,7433.96656218877
0.0590995857072569,4.41787659210698,0.000763492781757726,7457.29797684268
0.0581250809707892,4.57191181939038,0.000834290078690393,7373.30904550133
0.0582999353172623,4.64399264513068,0.000781242014759623,7467.55127420059
0.0595796914207566,4.76725702440982,0.000787976665920306,7461.2872801643
0.0580590754327729,4.66986570052647,0.000788391966297303,7457.98545023381
0.0602378855863945,4.56055411474372,0.000819218457881763,7432.04996802201
0.0608314549836045,4.80461272407171,0.000793644547338257,7432.24340386835
0.0603994668009285,4.61619121928807,0.00076627978948233,7477.24701957097
0.0583972295095145,4.93844053544635,0.000817056453032347,7426.60581805435
0.0591589330976386,4.56143736983173,0.000811426700583451,7433.94057345071
0.0597195036583873,4.46147600074904,0.000824934747992392,7459.09417773445
0.0599646601411147,4.27850577755465,0.000867701802818941,7392.1621124826
0.059698051313214,4.48663618901356,0.000779253573567982,7455.61560533996
0.0604599755075145,4.40060687896854,0.000766217150971706,7475.74816789553
0.0615248329322048,4.50493084346681,0.000845837166072166,7396.10430864535
0.0602428290576016,4.37368776821394,0.000753797199914561,7478.04904489432
0.059497093018287,4.37426258596352,0.00081655246370937,7397.10681892708
0.0588594295336934,4.3862956850455,0.000825608995959011,7428.04929364782
0.0578089144475438,5.03493018033197,0.000762886259844127,7489.54022497745
0.061555964783423,4.55678886918425,0.000821794913321121,7432.03619153504
0.0609614941934247,4.39310282173339,0.000779419285340372,7461.40855264169
0.05859152015609,4.28951064066823,0.000790462917253981,7470.88161970821
0.0599526907698498,4.65458902375511,0.000791130388742845,7476.7620381019
0.0591687185558728,4.21222194783649,0.000800502952369186,7447.44164634774
0.0590501706494335,4.65942899783704,0.000748181096127317,7513.36023585036
0.0591068947777721,4.63052905066676,0.000820545226940027,7454.72753031077
0.0593943916530852,4.09183048554896,0.000786203468041808,7446.03769037582
0.0586673506418222,4.44450715992389,0.000801867118741265,7446.65014832661
0.0588251254794167,4.32088247780994,0.000719897012471345,7455.48262516345
0.0594546597814138,4.88044637620961,0.000813585573315211,7496.12501123264
0.0600192565567645,4.26657673786573,0.000798261446105032,7458.14545374042
0.060105971825514,4.53339804222323,0.000762826568013168,7474.16111942752
0.0577233564824988,4.73560367771368,0.000752893378018168,7496.25058891604
0.0581177069537752,4.43097147090419,0.000799176056751212,7445.20972429492
0.0608947058098876,4.04512145062134,0.000815663126212943,7443.79112108985
0.059898924783298,4.82453975997098,0.00076938795297114,7486.28077468093
0.0594742375206038,4.89756992117489,0.000716477864302542,7477.70636981928
0.0595830138073254,4.67102577620088,0.000817588368029982,7437.4100395098
0.0607770935155043,4.32989733659686,0.000847032696108112,7404.66318677199
0.0604308983215999,4.57652524504141,0.000800260780182055,7433.28243999153
0.0588453112500781,4.57431261432783,0.000766939950786352,7445.82660278258
0.0580115119159493,4.42061770053333,0.00082179240098969,7453.71043600705
0.0573800080563903,4.76499662067682,0.000825975677950478,7459.99180425326
0.0601371552772533,4.46974966593676,0.000810007173526973,7437.23744982408
0.0612335699551911,4.20672812934234,0.000786367134546413,7447.71563350238
0.0589939219912982,3.96817247869285,0.000796920292888631,7430.69644075959
0.0602422174741664,4.596632474895,0.000791305082140824,7449.45946375274
0.0587651159423187,4.15456637016602,0.000783363795847397,7474.63501486589
0.0603966291517644,4.84992968252141,0.000821534356895287,7439.76993508195
0.0601073185236635,4.27018425096485,0.000794796731951195,7409.16233675665
0.0609537382669617,4.44363350982689,0.000790020765216349,7424.69791805373
0.0576314431147024,4.72392085350131,0.000770444964383683,7446.78249817151
0.0590650033895627,4.87162812599429,0.000785520709658016,7483.55529140668
0.0586168210506334,4.72262390695536,0.000767860124688182,7454.9607868903
0.0626898611391523,4.76158801880221,0.000751983802660493,7501.35581177991
0.0593642598249352,4.54093127181341,0.00087976516218836,7436.0612657232
0.058969311857182,4.33406837307185,0.000798379102008042,7453.4707127909
0.0608593298774888,4.37272481510317,0.000832140056757479,7416.4885533339
0.0576726388189839,5.01932767553316,0.000793965347721113,7463.88369148844
0.0589303840931964,4.24041922269917,0.000821769297356294,7417.22449266003
0.0599534435736666,4.59301595959075,0.000830294998581995,7412.05135262145
0.0599663996693825,4.28729312693015,0.000734629622208848,7508.2753040234
0.061746909858484,4.36197254343443,0.000799326387751748,7398.62407017338
0.0582876744057164,5.0825131173669,0.000789558888369126,7471.1525826913
0.0605160806605886,4.64279212777285,0.000782378458706752,7470.17735369939
0.0597359002339405,4.71733540723816,0.000770783298673593,7446.84809922911
0.0581912219445225,4.75530222903848,0.000760876642428399,7477.40314046047
0.0586456571435797,4.5271914638115,0.000768248115713614,7473.77164521052
0.0611589937979504,4.1586978268301,0.000804681604100645,7443.43187029893
0.0593683468651258,4.39775780915903,0.000804502772446699,7447.65278570987
0.0589248690849062,4.5338775487828,0.00083686566942602,7421.22445497782
0.0592107362615036,4.71914132276809,0.000842294540811128,7426.13641676947
0.0600326139386114,4.73640547521235,0.000788170395093917,7419.89944736532
0.0607821012567354,4.49847410251606,0.00079696819577899,7463.87488785177
0.0577777997330342,4.48589020573273,0.000789123148060393,7398.46524398595
0.0578938405994873,4.37164012345223,0.000788477780769592,7478.13576007431
0.0606954821073587,4.31328598389813,0.000782010890543533,7460.96522358635
0.0588857579100462,4.57678174284002,0.000768764415693087,7464.73049580012
0.0579346969853445,4.69346960168313,0.000818923003393032,7445.70346264786
0.0602303295496158,4.61190480887101,0.000779514702317403,7482.58975345011
0.0599898699552425,4.37401174201803,0.000768950687068477,7477.60789495754
0.059755834732397,4.79414425429981,0.000836238998221914,7455.11541079216
0.0601441027238628,4.53304016498028,0.000814851593334562,7426.44146953169
0.0598416394395904,4.56004154175609,0.000845068119054449,7437.55193654906
0.0618284334042553,4.54361757381088,0.000801461166589007,7457.47609301214
0.0602637241541036,4.45926916656568,0.00077266492207677,7469.04224763657
0.0588560313308751,3.98923719681076,0.000769613055761411,7388.07850076436
0.060749825173544,4.65408798307725,0.000747588148599236,7506.66881639121
0.0586821629012195,4.34248222181339,0.000744100813622084,7476.45230893356
0.0603880092479712,4.35603059338387,0.000804057723649983,7465.65089618089
0.0584108041469003,4.60864201287005,0.000805516050100204,7427.06493297918
0.0591680788656355,4.58453941632604,0.000856340252733091,7357.28604905421
0.060990914885249,4.0118776362606,0.000764722701889258,7483.59339566071
0.0598676053795986,4.53481053736783,0.000832400017255654,7417.95055954775
0.0617543088122176,3.72628506132533,0.000737558057933754,7492.16325355689
0.0611706584406592,4.58857455178685,0.00077439154294701,7474.59439347035
0.0616848704041167,4.4476913203885,0.000783174620468763,7490.30074176429
0.0599873089099004,4.31933810682772,0.000801974100402408,7406.50389113436
0.0597037005760458,4.64078775069861,0.00078310484805075,7498.04316957168
0.0577240054354262,4.69292316398279,0.000784419132603925,7501.86061597294
0.0604429101693018,4.51250401574868,0.000751716044576913,7474.38664724585
0.0627533662279675,4.5495791120504,0.000846755309735118,7439.29560464891
0.0578390117287805,4.64318014417665,0.00080923748874914,7472.7208306879
0.0585229800523744,4.38883939610637,0.000759884773701031,7495.64827052205
0.059625375703956,4.60347358613901,0.000820387323500853,7424.29708916471
0.0599498816492265,4.26265788224183,0.000737567474140687,7520.95436861144
0.0610459938138222,4.44552755120161,0.000796980581343995,7454.02277230553
0.0591785062221302,4.63921635676489,0.000759007716567667,7488.82907097176
0.0592417251516787,4.36270621641183,0.000757285183454559,7461.71275737474
0.0602248009108447,4.78580302389673,0.00085797849799983,7430.82587025479
0.0607209431801063,4.64434760043184,0.000820900920464783,7459.88169492893
